frame_index,timestamp,landmark_id,x,y,z,visibility
0,0.000000,11,376.651,634.553,0.212259,0.998
0,0.000000,12,367.206,617.565,-0.183626,1.000
0,0.000000,13,375.843,734.362,0.249272,0.258
0,0.000000,14,370.635,724.372,-0.211466,0.974
0,0.000000,23,266.624,752.987,0.115004,0.981
0,0.000000,24,253.975,742.170,-0.114713,0.992
0,0.000000,15,404.555,821.296,0.180306,0.221
0,0.000000,16,405.025,819.694,-0.156700,0.951
1,0.033170,11,374.343,634.484,0.222493,0.998
1,0.033170,12,367.843,617.549,-0.159610,1.000
1,0.033170,13,373.684,734.125,0.254034,0.250
1,0.033170,14,372.673,724.595,-0.185842,0.973
1,0.033170,23,265.605,753.008,0.113789,0.982
1,0.033170,24,254.148,741.687,-0.113554,0.993
1,0.033170,15,403.039,821.439,0.208798,0.215
1,0.033170,16,407.837,822.790,-0.148107,0.951
2,0.066340,11,372.492,633.933,0.233702,0.998
2,0.066340,12,368.496,617.453,-0.141423,1.000
2,0.066340,13,371.465,734.026,0.265958,0.245
2,0.066340,14,373.202,724.850,-0.165545,0.973
2,0.066340,23,265.326,752.934,0.112539,0.983
2,0.066340,24,254.487,741.438,-0.112364,0.993
2,0.066340,15,400.759,821.874,0.227215,0.212
2,0.066340,16,408.519,824.783,-0.129606,0.951
3,0.099510,11,371.082,633.852,0.225545,0.998
3,0.099510,12,368.609,617.716,-0.151825,1.000
3,0.099510,13,371.005,733.966,0.251796,0.239
3,0.099510,14,374.177,725.720,-0.176361,0.972
3,0.099510,23,264.913,752.935,0.110977,0.983
3,0.099510,24,254.631,741.439,-0.110849,0.994
3,0.099510,15,400.370,822.248,0.214498,0.207
3,0.099510,16,409.784,825.993,-0.135013,0.950
4,0.132680,11,370.876,634.000,0.218803,0.998
4,0.132680,12,368.791,618.246,-0.156560,1.000
4,0.132680,13,371.062,734.123,0.245706,0.238
4,0.132680,14,374.626,726.195,-0.182181,0.972
4,0.132680,23,264.822,752.932,0.111065,0.983
4,0.132680,24,254.651,741.439,-0.110928,0.994
4,0.132680,15,400.608,823.014,0.210997,0.207
4,0.132680,16,409.904,826.403,-0.152785,0.951
5,0.165851,11,370.702,634.397,0.223427,0.998
5,0.165851,12,368.682,618.327,-0.158608,1.000
5,0.165851,13,371.228,734.107,0.254174,0.234
5,0.165851,14,374.623,725.486,-0.184044,0.972
5,0.165851,23,264.800,752.999,0.112139,0.984
5,0.165851,24,254.639,741.441,-0.112022,0.994
5,0.165851,15,401.046,823.093,0.212290,0.205
5,0.165851,16,409.834,825.233,-0.158186,0.952
6,0.199021,11,370.793,635.081,0.223096,0.999
6,0.199021,12,368.549,618.468,-0.166060,1.000
6,0.199021,13,371.363,734.110,0.254323,0.232
6,0.199021,14,374.568,725.332,-0.194238,0.972
6,0.199021,23,264.838,752.989,0.113105,0.984
6,0.199021,24,254.611,741.403,-0.113001,0.994
6,0.199021,15,401.144,823.195,0.210046,0.206
6,0.199021,16,409.761,824.969,-0.168829,0.953
7,0.232191,11,370.842,635.452,0.225984,0.999
7,0.232191,12,368.316,618.570,-0.165370,1.000
7,0.232191,13,371.420,734.111,0.256017,0.229
7,0.232191,14,374.439,725.253,-0.194455,0.972
7,0.232191,23,264.730,753.076,0.113496,0.984
7,0.232191,24,254.539,741.424,-0.113392,0.995
