frame_index,timestamp,landmark_id,x,y,z,visibility
0,0.000000,11,404.431,838.485,0.207861,1.000
0,0.000000,12,395.901,834.766,-0.270063,1.000
0,0.000000,13,355.797,957.531,0.253027,0.082
0,0.000000,14,380.640,978.284,-0.317584,0.995
0,0.000000,23,299.576,1021.202,0.136323,0.999
0,0.000000,24,257.500,1012.115,-0.136200,1.000
0,0.000000,15,365.998,1073.652,0.176704,0.074
0,0.000000,16,421.564,1103.406,-0.276754,0.979
1,0.034648,11,404.844,843.179,0.235770,1.000
1,0.034648,12,391.721,834.781,-0.260232,1.000
1,0.034648,13,361.362,961.297,0.289313,0.079
1,0.034648,14,379.148,977.864,-0.304305,0.995
1,0.034648,23,296.401,1024.096,0.138094,0.999
1,0.034648,24,253.129,1012.871,-0.137922,1.000
1,0.034648,15,364.514,1070.992,0.207386,0.071
1,0.034648,16,420.086,1099.554,-0.255812,0.979
2,0.069295,11,404.806,844.424,0.247951,0.999
2,0.069295,12,391.098,834.503,-0.247170,1.000
2,0.069295,13,362.249,961.478,0.299331,0.077
2,0.069295,14,378.139,977.610,-0.284481,0.994
2,0.069295,23,294.620,1026.266,0.138899,0.999
2,0.069295,24,252.231,1013.270,-0.138705,1.000
2,0.069295,15,367.417,1076.950,0.226742,0.067
2,0.069295,16,417.639,1099.307,-0.224136,0.978
3,0.103943,11,405.109,846.300,0.273506,0.999
3,0.103943,12,390.227,833.489,-0.234041,1.000
3,0.103943,13,362.293,961.577,0.324436,0.074
3,0.103943,14,377.025,976.171,-0.278694,0.994
3,0.103943,23,294.595,1031.904,0.140929,0.999
3,0.103943,24,252.344,1015.703,-0.140725,1.000
3,0.103943,15,361.168,1077.938,0.237138,0.064
3,0.103943,16,416.614,1096.838,-0.233952,0.979
4,0.138590,11,406.546,850.652,0.282328,0.999
4,0.138590,12,388.470,832.546,-0.223936,1.000
4,0.138590,13,368.715,967.778,0.335216,0.072
4,0.138590,14,376.510,976.175,-0.264061,0.994
4,0.138590,23,294.926,1033.908,0.141287,0.999
4,0.138590,24,252.435,1016.267,-0.141091,1.000
4,0.138590,15,370.090,1085.143,0.257153,0.062
4,0.138590,16,416.569,1097.035,-0.219391,0.978
5,0.173238,11,408.025,852.423,0.268856,0.999
5,0.173238,12,386.046,832.505,-0.238797,1.000
5,0.173238,13,371.643,969.158,0.316892,0.071
5,0.173238,14,374.808,975.921,-0.270567,0.994
5,0.173238,23,295.334,1033.749,0.141978,0.999
5,0.173238,24,252.834,1016.618,-0.141785,1.000
5,0.173238,15,379.628,1084.238,0.238861,0.060
