frame_index,timestamp,shoulder_line_angle_2d_signed_deg,hip_line_angle_2d_signed_deg,xfactor_proxy_deg,valid,left_elbow_angle_2d_abs_deg,right_elbow_angle_2d_abs_deg
0,0.000000,-156.442367,-167.812821,11.370454,1,,155.818863
1,0.034648,-147.383777,-165.458294,18.074517,1,,156.384834
2,0.069295,-144.105470,-162.954623,18.849153,1,,156.843853
3,0.103943,-139.277882,-159.020848,19.742966,1,,156.549664
4,0.138590,-134.952582,-157.452640,22.500058,1,,156.902536
5,0.173238,-137.815652,-158.046959,20.231307,1,,156.721117
6,0.207885,-141.595421,-158.611153,17.015732,1,,156.919842
7,0.242533,-141.880459,-159.206215,17.325756,1,,156.311532
8,0.277181,-141.843849,-158.996053,17.152205,1,,156.057054
9,0.311828,-141.945934,-159.291859,17.345924,1,,156.344500
10,0.346476,-140.515757,-159.517104,19.001347,1,,157.224831
11,0.381123,-143.405044,-159.072790,15.667746,1,,159.201079
12,0.415771,-140.279187,-158.659085,18.379897,1,,161.251009
13,0.450419,-139.683695,-159.530327,19.846632,1,,156.240376
14,0.485066,-142.244756,-160.633015,18.388259,1,,150.607835
15,0.519714,-142.494873,-160.504038,18.009165,1,,141.434758
16,0.554361,-142.976711,-158.141560,15.164849,1,,141.314100
17,0.589009,-143.743533,-159.416310,15.672777,1,,133.489444
18,0.623656,-144.131913,-159.940625,15.808712,1,,93.346352
19,0.658304,-146.032266,-160.515708,14.483442,1,,91.696820
20,0.692952,-146.704621,-160.581584,13.876963,1,,75.379751
21,0.727599,-147.593077,-160.425616,12.832538,1,,61.701770
22,0.762247,-148.683737,-160.688335,12.004598,1,,86.874945
23,0.796894,-149.985229,-160.285728,10.300499,1,138.240475,107.065784
24,0.831542,-150.658339,-159.834993,9.176654,1,148.551564,117.150878
25,0.866189,-150.630896,-159.361372,8.730476,1,142.162178,117.371978
26,0.900837,-149.593049,-159.573842,9.980794,1,140.130651,112.478443
27,0.935485,-149.538008,-159.709174,10.171166,1,142.370586,108.730989
28,0.970132,-148.808634,-159.760386,10.951752,1,142.848164,109.854075
29,1.004780,-148.947815,-158.933562,9.985747,1,141.179959,109.482812
30,1.039427,-147.842269,-161.058204,13.215935,1,134.356287,106.740089
31,1.074075,-145.719560,-161.227862,15.508302,1,118.791833,95.768841
32,1.108722,-144.763971,-159.815017,15.051046,1,105.619102,51.029460
33,1.143370,-144.665024,-159.004626,14.339602,1,86.672459,86.612973
34,1.178018,-144.748580,-156.037425,11.288846,1,64.407123,110.650578
35,1.212665,-143.588600,-158.964511,15.375911,1,149.096118,134.628078
36,1.247313,-132.616144,-161.314630,28.698486,1,149.623654,146.446116
37,1.281960,23.997277,10.808803,13.188474,1,133.850164,142.142238
38,1.316608,31.026452,12.022078,19.004373,1,144.253064,142.301447
39,1.351256,31.914312,15.072601,16.841711,1,,130.888062
40,1.385903,31.896007,14.808660,17.087347,1,,55.017345
41,1.420551,32.231804,15.179578,17.052226,1,,76.091134
42,1.455198,30.393637,14.511946,15.881691,1,,92.423482
43,1.489846,31.600443,16.168882,15.431561,1,,118.938586
44,1.524493,28.354640,13.033904,15.320737,1,,123.786047
45,1.559141,25.324743,12.176272,13.148471,1,,134.937424
46,1.593789,24.272722,12.386062,11.886661,1,45.731194,129.840451
47,1.628436,15.700141,12.373509,3.326633,1,46.875990,122.896739
48,1.663084,11.036112,10.674819,0.361293,1,45.648382,121.667343
49,1.697731,8.921907,10.371609,-1.449702,1,47.449755,
50,1.732379,-173.366102,-177.013050,3.646949,1,74.439794,49.371951
51,1.767026,-166.113916,-159.918219,-6.195696,1,69.467140,
52,1.801674,-28.925377,-2.975730,-25.949647,1,55.997326,
53,1.836322,-7.379333,0.652082,-8.031414,1,47.352664,
54,1.870969,-2.894482,2.092210,-4.986692,1,50.013766,
55,1.905617,-2.841721,2.884561,-5.726282,1,55.574302,
56,1.940264,-155.062912,17.951831,-173.014743,1,76.172407,
57,1.974912,-7.998710,8.747315,-16.746025,1,66.317371,
58,2.009559,-0.912544,6.555612,-7.468157,1,56.641340,
59,2.044207,0.645349,6.273609,-5.628260,1,58.170692,
60,2.078855,2.604315,5.527336,-2.923022,1,57.847569,
61,2.113502,3.089424,5.350839,-2.261415,1,56.388366,
62,2.148150,1.871439,5.054466,-3.183027,1,54.207362,
63,2.182797,2.044733,5.542446,-3.497713,1,54.982387,
64,2.217445,1.895466,5.357932,-3.462467,1,54.738562,
65,2.252093,1.327897,5.122224,-3.794327,1,54.335924,
66,2.286740,1.779421,5.217238,-3.437817,1,55.115687,
67,2.321388,2.821228,5.412954,-2.591727,1,31.357750,
68,2.356035,3.118984,5.647293,-2.528309,1,47.701195,
69,2.390683,3.362302,5.611312,-2.249010,1,50.699208,
70,2.425330,4.023174,6.344997,-2.321822,1,53.851633,
71,2.459978,6.223192,6.572406,-0.349214,1,55.653252,
72,2.494626,6.986255,6.600296,0.385959,1,54.996665,
73,2.529273,7.972837,6.634236,1.338601,1,55.992377,
74,2.563921,8.269123,6.811721,1.457402,1,55.906166,
75,2.598568,8.943750,6.737849,2.205901,1,54.933209,
76,2.633216,9.214190,6.708740,2.505451,1,55.065537,
77,2.667863,8.732854,6.566814,2.166040,1,56.671008,
78,2.702511,8.797067,6.466545,2.330522,1,56.717560,
79,2.737159,9.588825,6.591660,2.997165,1,56.065464,
80,2.771806,8.607496,6.695941,1.911556,1,55.832656,
81,2.806454,7.756102,6.834752,0.921350,1,55.396380,
82,2.841101,7.673105,6.722658,0.950447,1,55.011475,
83,2.875749,8.377992,6.562063,1.815929,1,53.999844,
84,2.910396,8.728496,6.452366,2.276130,1,55.216033,
85,2.945044,8.648732,6.493489,2.155243,1,54.962407,
86,2.979692,8.315709,6.717019,1.598690,1,55.126252,
87,3.014339,8.595005,6.758328,1.836677,1,54.460841,
88,3.048987,8.364590,6.789900,1.574689,1,54.334960,
89,3.083634,8.044908,6.830020,1.214888,1,55.357266,
90,3.118282,8.295446,6.866029,1.429417,1,55.681202,
91,3.152930,8.190311,6.808628,1.381683,1,55.126162,
92,3.187577,7.878691,6.731042,1.147650,1,54.503499,
93,3.222225,7.806516,6.726768,1.079748,1,54.818594,
94,3.256872,7.834893,6.669540,1.165352,1,55.252066,
95,3.291520,8.110194,6.543320,1.566874,1,54.526266,
96,3.326167,8.224621,5.983277,2.241345,1,53.342584,
97,3.360815,8.320137,6.007444,2.312693,1,54.385232,
98,3.395463,9.925263,5.397348,4.527915,1,54.430898,
99,3.430110,10.096355,5.276912,4.819443,1,53.734371,
100,3.464758,9.900532,5.296307,4.604225,1,53.187502,
101,3.499405,10.529584,5.658370,4.871215,1,53.282413,
102,3.534053,10.080907,5.375847,4.705060,1,53.556560,
103,3.568700,10.787042,5.194578,5.592464,1,52.117424,
104,3.603348,10.989217,4.351782,6.637435,1,46.799367,
105,3.637996,11.087002,4.032557,7.054445,1,42.467766,
106,3.672643,10.848069,3.846934,7.001136,1,37.559678,
107,3.707291,11.195792,3.885853,7.309940,1,28.128418,
108,3.741938,10.698795,4.030349,6.668447,1,11.652574,
109,3.776586,10.925110,3.550467,7.374643,1,15.586689,
110,3.811233,9.295321,3.135486,6.159835,1,8.186186,
111,3.845881,8.782417,3.139423,5.642994,1,30.431541,
