frame_index,timestamp,shoulder_line_angle_2d_signed_deg,hip_line_angle_2d_signed_deg,xfactor_proxy_deg,valid,left_elbow_angle_2d_abs_deg,right_elbow_angle_2d_abs_deg
0,0.000000,136.010795,158.996064,-22.985269,1,,160.679356
1,0.033182,80.323245,139.512759,-59.189515,1,,158.847221
2,0.066364,51.442437,87.238138,-35.795701,1,,158.890996
3,0.099545,52.009929,100.262062,-48.252133,1,,158.858958
4,0.132727,81.003226,125.367224,-44.363999,1,,160.107184
5,0.165909,158.715839,157.040144,1.675695,1,,161.905003
6,0.199091,-170.653231,168.239796,-338.893027,1,,162.761293
7,0.232273,-172.203204,171.581606,-343.784810,1,,163.135009
8,0.265455,-167.697861,178.577638,-346.275499,1,,155.335821
9,0.298636,-166.076909,-178.911381,12.834472,1,,143.736435
10,0.331818,-163.990220,-175.999678,12.009459,1,,137.799682
11,0.365000,-162.560955,-172.934372,10.373417,1,,130.829299
12,0.398182,-159.616924,-168.888422,9.271498,1,,118.687575
13,0.431364,-156.070584,-166.843822,10.773239,1,,114.641317
14,0.464545,-149.586798,-167.195189,17.608391,1,,110.776906
15,0.497727,-154.255109,-166.778547,12.523438,1,,95.284565
16,0.530909,-156.513681,-165.871791,9.358110,1,,145.245341
17,0.564091,-156.800739,-165.453148,8.652410,1,,85.188327
18,0.597273,-158.906696,-165.383381,6.476685,1,121.492339,94.666671
19,0.630455,-158.793980,-165.010533,6.216553,1,130.848734,85.398907
20,0.663636,-159.917481,-165.678000,5.760519,1,136.401625,101.364568
21,0.696818,-161.661055,-166.480517,4.819462,1,143.287353,106.182433
22,0.730000,-162.459466,-166.673979,4.214513,1,146.936416,109.970405
23,0.763182,-163.358502,-166.493717,3.135215,1,150.056827,113.994189
24,0.796364,-164.138768,-165.967078,1.828310,1,149.007275,116.824918
25,0.829545,-164.056798,-165.697799,1.641001,1,150.641035,110.560141
26,0.862727,-164.097811,-165.067158,0.969346,1,151.113173,109.505750
27,0.895909,-163.439688,-165.039288,1.599601,1,149.209029,112.412992
28,0.929091,-163.939029,-165.033761,1.094732,1,146.785434,111.275141
29,0.962273,-162.508544,-165.825245,3.316701,1,136.004961,98.139800
30,0.995455,-160.295422,-166.134803,5.839381,1,122.180155,75.912485
31,1.028636,-159.550833,-166.568863,7.018030,1,117.015612,46.932381
32,1.061818,-155.669358,-168.320281,12.650923,1,101.416451,42.573661
33,1.095000,-153.736455,-167.761904,14.025449,1,70.581644,92.930753
34,1.128182,-162.216934,-175.130108,12.913173,1,166.300431,127.402225
35,1.161364,-178.325489,172.775812,-351.101301,1,164.713661,138.818854
36,1.194545,84.833248,116.699282,-31.866034,1,130.940792,145.430771
37,1.227727,37.357885,14.882889,22.474996,1,116.237378,141.714889
38,1.260909,33.266702,12.939843,20.326859,1,66.448851,20.225414
39,1.294091,33.106341,12.504872,20.601468,1,43.609565,31.019925
40,1.327273,32.891896,12.671343,20.220553,1,3.067567,37.806374
41,1.360455,27.825074,11.241089,16.583985,1,35.322257,4.261509
42,1.393636,22.891844,9.134918,13.756926,1,49.345015,118.517999
43,1.426818,15.705398,8.101241,7.604157,1,53.273920,148.250760
44,1.460000,10.724488,7.647905,3.076584,1,60.805281,134.830338
45,1.493182,4.617566,6.923118,-2.305553,1,62.796490,117.006606
